173-55: Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
;;;;insgesamt;insgesamt;davon;davon;davon;davon;davon;davon
;;;;;;Ausländer;Ausländer;Eingebürgerte 2);Eingebürgerte 2);Aussiedler 3);Aussiedler 3)
;;;;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich
04011232;Arsten (Ortsteil);2013-12-31;Insgesamt;2698;1399;687;352;1197;616;814;431;6546;3432
04011233;Kattenturm (Ortsteil);2013-12-31;unter 6;543;268;90;37;361;176;92;55;190;91
04011233;Kattenturm (Ortsteil);2013-12-31;6 - 15;783;374;160;69;521;263;102;42;328;172
04011233;Kattenturm (Ortsteil);2013-12-31;15 - 18;237;106;90;39;121;50;26;17;151;77
04011233;Kattenturm (Ortsteil);2013-12-31;18 - 25;512;249;237;117;209;97;66;35;598;290
04011233;Kattenturm (Ortsteil);2013-12-31;25 - 30;422;218;204;101;154;85;64;32;400;190
04011233;Kattenturm (Ortsteil);2013-12-31;30 - 50;1737;904;888;471;584;301;265;132;1676;820
04011233;Kattenturm (Ortsteil);2013-12-31;50 - 65;1036;522;424;209;348;175;264;138;1544;770
04011233;Kattenturm (Ortsteil);2013-12-31;65 oder mehr;528;280;241;119;145;77;142;84;2066;1217
04011233;Kattenturm (Ortsteil);2013-12-31;Insgesamt;5798;2921;2334;1162;2443;1224;1021;535;6953;3627
04011234;Kattenesch (Ortsteil);2013-12-31;unter 6;152;77;12;7;83;43;57;27;130;63
04011234;Kattenesch (Ortsteil);2013-12-31;6 - 15;199;96;19;11;144;70;36;15;239;111
04011234;Kattenesch (Ortsteil);2013-12-31;15 - 18;57;25;16;7;26;9;15;9;87;42
04011234;Kattenesch (Ortsteil);2013-12-31;18 - 25;84;39;32;16;36;17;16;6;232;113
04011234;Kattenesch (Ortsteil);2013-12-31;25 - 30;100;50;21;12;52;25;27;13;169;86
04011234;Kattenesch (Ortsteil);2013-12-31;30 - 50;434;225;156;88;183;88;95;49;912;445
04011234;Kattenesch (Ortsteil);2013-12-31;50 - 65;234;113;43;21;129;58;62;34;784;421
04011234;Kattenesch (Ortsteil);2013-12-31;65 oder mehr;124;77;42;25;45;28;37;24;1339;765
04011234;Kattenesch (Ortsteil);2013-12-31;Insgesamt;1384;702;341;187;698;338;345;177;3892;2046
0401124;Huchting (Stadtteil);2013-12-31;unter 6;1110;523;220;91;658;328;232;104;534;254
0401124;Huchting (Stadtteil);2013-12-31;6 - 15;1615;788;367;178;996;482;252;128;990;466
0401124;Huchting (Stadtteil);2013-12-31;15 - 18;506;219;177;86;258;107;71;26;493;234
0401124;Huchting (Stadtteil);2013-12-31;18 - 25;964;456;385;177;415;193;164;86;1298;624
0401124;Huchting (Stadtteil);2013-12-31;25 - 30;811;400;372;190;273;142;166;68;776;370
0401124;Huchting (Stadtteil);2013-12-31;30 - 50;3258;1677;1634;862;1046;510;578;305;3944;1986
0401124;Huchting (Stadtteil);2013-12-31;50 - 65;1692;847;621;303;607;296;464;248;3929;2054
0401124;Huchting (Stadtteil);2013-12-31;65 oder mehr;976;536;356;175;306;167;314;194;6373;3784
0401124;Huchting (Stadtteil);2013-12-31;Insgesamt;10932;5446;4132;2062;4559;2225;2241;1159;18337;9772
04011241;Mittelshuchting (Ortsteil);2013-12-31;unter 6;492;217;127;55;261;123;104;39;195;103
04011241;Mittelshuchting (Ortsteil);2013-12-31;6 - 15;673;339;178;82;379;193;116;64;355;160
04011241;Mittelshuchting (Ortsteil);2013-12-31;15 - 18;207;87;76;38;101;41;30;8;183;93
04011241;Mittelshuchting (Ortsteil);2013-12-31;18 - 25;423;195;185;83;177;81;61;31;504;243
04011241;Mittelshuchting (Ortsteil);2013-12-31;25 - 30;345;158;176;82;99;44;70;32;299;136
04011241;Mittelshuchting (Ortsteil);2013-12-31;30 - 50;1364;687;714;350;404;202;246;135;1408;689
04011241;Mittelshuchting (Ortsteil);2013-12-31;50 - 65;679;339;245;117;241;118;193;104;1376;716
04011241;Mittelshuchting (Ortsteil);2013-12-31;65 oder mehr;363;200;118;54;123;70;122;76;2176;1256
04011241;Mittelshuchting (Ortsteil);2013-12-31;Insgesamt;4546;2222;1819;861;1785;872;942;489;6496;3396
04011242;Sodenmatt (Ortsteil);2013-12-31;unter 6;246;121;26;10;134;72;86;39;109;46
04011242;Sodenmatt (Ortsteil);2013-12-31;6 - 15;399;174;71;30;247;112;81;32;183;87
04011242;Sodenmatt (Ortsteil);2013-12-31;15 - 18;131;59;39;19;66;27;26;13;82;36
04011242;Sodenmatt (Ortsteil);2013-12-31;18 - 25;232;118;85;44;86;40;61;34;261;134
04011242;Sodenmatt (Ortsteil);2013-12-31;25 - 30;201;109;82;46;65;41;54;22;197;95
04011242;Sodenmatt (Ortsteil);2013-12-31;30 - 50;846;435;389;215;263;119;194;101;804;405
04011242;Sodenmatt (Ortsteil);2013-12-31;50 - 65;483;237;167;79;171;86;145;72;820;447
04011242;Sodenmatt (Ortsteil);2013-12-31;65 oder mehr;323;175;118;56;81;42;124;77;1485;936
04011242;Sodenmatt (Ortsteil);2013-12-31;Insgesamt;2861;1428;977;499;1113;539;771;390;3941;2186
04011243;Kirchhuchting (Ortsteil);2013-12-31;unter 6;326;155;66;25;222;108;38;22;139;63
04011243;Kirchhuchting (Ortsteil);2013-12-31;6 - 15;505;253;117;65;338;159;50;29;272;139
04011243;Kirchhuchting (Ortsteil);2013-12-31;15 - 18;148;65;58;27;76;33;14;5;138;60
04011243;Kirchhuchting (Ortsteil);2013-12-31;18 - 25;283;133;104;45;138;67;41;21;351;166
04011243;Kirchhuchting (Ortsteil);2013-12-31;25 - 30;238;122;100;57;96;51;42;14;201;104
04011243;Kirchhuchting (Ortsteil);2013-12-31;30 - 50;947;499;491;275;328;158;128;66;1044;533
04011243;Kirchhuchting (Ortsteil);2013-12-31;50 - 65;470;242;183;97;172;78;115;67;1079;564
04011243;Kirchhuchting (Ortsteil);2013-12-31;65 oder mehr;254;139;111;59;82;43;61;37;1740;1047
04011243;Kirchhuchting (Ortsteil);2013-12-31;Insgesamt;3171;1608;1230;650;1452;697;489;261;4964;2676
04011244;Grolland (Ortsteil);2013-12-31;unter 6;46;30;1;1;41;25;4;4;91;42
04011244;Grolland (Ortsteil);2013-12-31;6 - 15;38;22;1;1;32;18;5;3;180;80
04011244;Grolland (Ortsteil);2013-12-31;15 - 18;20;8;4;2;15;6;1;0;90;45
04011244;Grolland (Ortsteil);2013-12-31;18 - 25;26;10;11;5;14;5;1;0;182;81
04011244;Grolland (Ortsteil);2013-12-31;25 - 30;27;11;14;5;13;6;0;0;79;35
04011244;Grolland (Ortsteil);2013-12-31;30 - 50;101;56;40;22;51;31;10;3;688;359
04011244;Grolland (Ortsteil);2013-12-31;50 - 65;60;29;26;10;23;14;11;5;654;327
04011244;Grolland (Ortsteil);2013-12-31;65 oder mehr;36;22;9;6;20;12;7;4;972;545
04011244;Grolland (Ortsteil);2013-12-31;Insgesamt;354;188;106;52;209;117;39;19;2936;1514
0401125;Woltmershausen (Stadtteil);2013-12-31;unter 6;309;158;45;24;194;89;70;45;367;189
0401125;Woltmershausen (Stadtteil);2013-12-31;6 - 15;420;210;92;53;258;129;70;28;604;294
0401125;Woltmershausen (Stadtteil);2013-12-31;15 - 18;95;48;35;17;50;27;10;4;249;111
0401125;Woltmershausen (Stadtteil);2013-12-31;18 - 25;350;169;188;92;116;52;46;25;867;438
0401125;Woltmershausen (Stadtteil);2013-12-31;25 - 30;313;144;169;74;91;47;53;23;717;348
0401125;Woltmershausen (Stadtteil);2013-12-31;30 - 50;1155;523;667;305;333;149;155;69;2759;1328
0401125;Woltmershausen (Stadtteil);2013-12-31;50 - 65;564;271;266;132;166;76;132;63;2336;1136
0401125;Woltmershausen (Stadtteil);2013-12-31;65 oder mehr;316;169;156;70;74;46;86;53;2300;1296
0401125;Woltmershausen (Stadtteil);2013-12-31;Insgesamt;3522;1692;1618;767;1282;615;622;310;10199;5140
04011251;Woltmershausen (Ortsteil);2013-12-31;unter 6;266;138;35;19;166;77;65;42;284;140
04011251;Woltmershausen (Ortsteil);2013-12-31;6 - 15;345;171;78;46;207;101;60;24;450;215
04011251;Woltmershausen (Ortsteil);2013-12-31;15 - 18;77;38;30;14;39;21;8;3;176;80
04011251;Woltmershausen (Ortsteil);2013-12-31;18 - 25;292;140;150;74;98;41;44;25;699;365
04011251;Woltmershausen (Ortsteil);2013-12-31;25 - 30;281;134;148;67;83;45;50;22;609;296
04011251;Woltmershausen (Ortsteil);2013-12-31;30 - 50;977;447;564;261;276;125;137;61;2136;1016
04011251;Woltmershausen (Ortsteil);2013-12-31;50 - 65;500;241;242;119;134;63;124;59;1739;839
04011251;Woltmershausen (Ortsteil);2013-12-31;65 oder mehr;264;139;129;58;58;33;77;48;1557;863
04011251;Woltmershausen (Ortsteil);2013-12-31;Insgesamt;3002;1448;1376;658;1061;506;565;284;7650;3814
04011252;Rablinghausen (Ortsteil);2013-12-31;unter 6;43;20;10;5;28;12;5;3;83;49
04011252;Rablinghausen (Ortsteil);2013-12-31;6 - 15;75;39;14;7;51;28;10;4;154;79
04011252;Rablinghausen (Ortsteil);2013-12-31;15 - 18;18;10;5;3;11;6;2;1;73;31
04011252;Rablinghausen (Ortsteil);2013-12-31;18 - 25;58;29;38;18;18;11;2;0;168;73
04011252;Rablinghausen (Ortsteil);2013-12-31;25 - 30;32;10;21;7;8;2;3;1;108;52
04011252;Rablinghausen (Ortsteil);2013-12-31;30 - 50;178;76;103;44;57;24;18;8;623;312
04011252;Rablinghausen (Ortsteil);2013-12-31;50 - 65;64;30;24;13;32;13;8;4;597;297
04011252;Rablinghausen (Ortsteil);2013-12-31;65 oder mehr;52;30;27;12;16;13;9;5;743;433
04011252;Rablinghausen (Ortsteil);2013-12-31;Insgesamt;520;244;242;109;221;109;57;26;2549;1326
04011261;Seehausen (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011261;Seehausen (Ortsteil);2013-12-31;50 - 65;31;14;9;5;13;5;9;4;220;108
04011261;Seehausen (Ortsteil);2013-12-31;65 oder mehr;8;4;3;2;2;2;3;0;153;79
04011261;Seehausen (Ortsteil);2013-12-31;Insgesamt;151;85;34;19;69;39;48;27;889;439
04011271;Strom (Ortsteil);2013-12-31;unter 6;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;6 - 15;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;15 - 18;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;18 - 25;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;25 - 30;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;30 - 50;.;.;.;.;.;.;.;.;.;.
04011271;Strom (Ortsteil);2013-12-31;50 - 65;7;1;1;0;4;1;2;0;104;52
04011271;Strom (Ortsteil);2013-12-31;65 oder mehr;5;2;1;0;2;0;2;2;89;49
04011271;Strom (Ortsteil);2013-12-31;Insgesamt;29;16;5;2;11;5;13;9;399;198
040113;Ost (Stadtbezirk);2013-12-31;unter 6;5528;2692;876;420;3095;1499;1557;773;5343;2614
040113;Ost (Stadtbezirk);2013-12-31;6 - 15;7519;3608;1344;613;4861;2334;1314;661;8855;4199
040113;Ost (Stadtbezirk);2013-12-31;15 - 18;2454;1154;811;385;1292;607;351;162;3592;1702
040113;Ost (Stadtbezirk);2013-12-31;18 - 25;5898;2954;2606;1311;2274;1123;1018;520;12099;6123
040113;Ost (Stadtbezirk);2013-12-31;25 - 30;5681;2824;2732;1381;1706;823;1243;620;10075;5046
040113;Ost (Stadtbezirk);2013-12-31;30 - 50;20256;10366;10174;5333;6714;3327;3368;1706;42301;21009
040113;Ost (Stadtbezirk);2013-12-31;50 - 65;10455;5388;3884;1953;3784;1956;2787;1479;33335;17393
040113;Ost (Stadtbezirk);2013-12-31;65 oder mehr;6587;3673;2413;1188;2053;1180;2121;1305;41446;24599
040113;Ost (Stadtbezirk);2013-12-31;Insgesamt;64378;32659;24840;12584;25779;12849;13759;7226;157046;82685
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;unter 6;418;195;87;36;279;132;52;27;863;416
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;6 - 15;442;216;65;29;335;166;42;21;1224;627
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;15 - 18;124;60;48;22;74;37;2;1;431;193
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;18 - 25;507;266;285;145;184;100;38;21;1890;990
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;25 - 30;700;390;440;238;182;105;78;47;2231;1197
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;30 - 50;2134;1039;1299;606;707;362;128;71;8234;4132
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;50 - 65;800;377;459;203;270;131;71;43;5447;2964
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;65 oder mehr;487;244;272;119;123;69;92;56;3854;2301
0401131;Östliche Vorstadt (Stadtteil);2013-12-31;Insgesamt;5612;2787;2955;1398;2154;1102;503;287;24174;12820
04011311;Steintor (Ortsteil);2013-12-31;unter 6;102;41;18;4;75;34;9;3;210;111
04011311;Steintor (Ortsteil);2013-12-31;6 - 15;131;69;18;9;103;53;10;7;232;114
04011311;Steintor (Ortsteil);2013-12-31;15 - 18;36;16;19;6;16;9;1;1;93;38
04011311;Steintor (Ortsteil);2013-12-31;18 - 25;137;77;71;44;58;27;8;6;511;262
04011311;Steintor (Ortsteil);2013-12-31;25 - 30;190;97;123;66;44;23;23;8;674;355
04011311;Steintor (Ortsteil);2013-12-31;30 - 50;585;290;358;173;203;100;24;17;2239;1033
04011311;Steintor (Ortsteil);2013-12-31;50 - 65;199;88;124;48;65;34;10;6;1305;687
04011311;Steintor (Ortsteil);2013-12-31;65 oder mehr;126;57;78;32;29;15;19;10;719;434
04011311;Steintor (Ortsteil);2013-12-31;Insgesamt;1506;735;809;382;593;295;104;58;5983;3034
04011312;Fesenfeld (Ortsteil);2013-12-31;unter 6;90;45;12;4;69;37;9;4;201;87
04011312;Fesenfeld (Ortsteil);2013-12-31;6 - 15;82;33;12;4;64;28;6;1;228;124
04011312;Fesenfeld (Ortsteil);2013-12-31;15 - 18;12;4;2;1;10;3;0;0;73;36
04011312;Fesenfeld (Ortsteil);2013-12-31;18 - 25;113;63;65;30;42;28;6;5;503;270
04011312;Fesenfeld (Ortsteil);2013-12-31;25 - 30;183;104;111;58;52;32;20;14;617;350
04011312;Fesenfeld (Ortsteil);2013-12-31;30 - 50;467;228;285;135;161;83;21;10;2072;1042
04011312;Fesenfeld (Ortsteil);2013-12-31;50 - 65;181;86;102;49;61;27;18;10;1187;627
04011312;Fesenfeld (Ortsteil);2013-12-31;65 oder mehr;101;49;50;23;32;18;19;8;758;420
04011312;Fesenfeld (Ortsteil);2013-12-31;Insgesamt;1229;612;639;304;491;256;99;52;5639;2956
04011313;Peterswerder (Ortsteil);2013-12-31;unter 6;117;55;12;8;84;35;21;12;331;171
04011313;Peterswerder (Ortsteil);2013-12-31;6 - 15;153;73;17;7;121;60;15;6;548;276
04011313;Peterswerder (Ortsteil);2013-12-31;15 - 18;47;26;13;7;34;19;0;0;176;78
04011313;Peterswerder (Ortsteil);2013-12-31;18 - 25;133;66;78;38;41;21;14;7;535;268
04011313;Peterswerder (Ortsteil);2013-12-31;25 - 30;182;106;110;66;50;24;22;16;579;305
04011313;Peterswerder (Ortsteil);2013-12-31;30 - 50;590;311;325;169;216;116;49;26;2744;1456
04011313;Peterswerder (Ortsteil);2013-12-31;50 - 65;254;126;132;62;92;44;30;20;2028;1162
04011313;Peterswerder (Ortsteil);2013-12-31;65 oder mehr;168;88;94;40;40;25;34;23;1606;974
04011313;Peterswerder (Ortsteil);2013-12-31;Insgesamt;1644;851;781;397;678;344;185;110;8547;4690
04011314;Hulsberg (Ortsteil);2013-12-31;unter 6;109;54;45;20;51;26;13;8;121;47
04011314;Hulsberg (Ortsteil);2013-12-31;6 - 15;76;41;18;9;47;25;11;7;216;113
04011314;Hulsberg (Ortsteil);2013-12-31;15 - 18;29;14;14;8;14;6;1;0;89;41
04011314;Hulsberg (Ortsteil);2013-12-31;18 - 25;124;60;71;33;43;24;10;3;341;190
04011314;Hulsberg (Ortsteil);2013-12-31;25 - 30;145;83;96;48;36;26;13;9;361;187
04011314;Hulsberg (Ortsteil);2013-12-31;30 - 50;492;210;331;129;127;63;34;18;1179;601
04011314;Hulsberg (Ortsteil);2013-12-31;50 - 65;166;77;101;44;52;26;13;7;927;488
04011314;Hulsberg (Ortsteil);2013-12-31;65 oder mehr;92;50;50;24;22;11;20;15;771;473
04011314;Hulsberg (Ortsteil);2013-12-31;Insgesamt;1233;589;726;315;392;207;115;67;4005;2140
0401132;Schwachhausen (Stadtteil);2013-12-31;unter 6;595;291;113;56;371;182;111;53;1187;586
0401132;Schwachhausen (Stadtteil);2013-12-31;6 - 15;568;276;116;57;397;193;55;26;1713;759
0401132;Schwachhausen (Stadtteil);2013-12-31;15 - 18;168;81;46;26;110;48;12;7;632;296
0401132;Schwachhausen (Stadtteil);2013-12-31;18 - 25;475;282;241;145;183;111;51;26;2026;1075
0401132;Schwachhausen (Stadtteil);2013-12-31;25 - 30;638;340;349;195;191;91;98;54;2441;1295
0401132;Schwachhausen (Stadtteil);2013-12-31;30 - 50;2264;1244;1286;704;773;423;205;117;9070;4578
0401132;Schwachhausen (Stadtteil);2013-12-31;50 - 65;876;469;421;211;362;200;93;58;6565;3619
0401132;Schwachhausen (Stadtteil);2013-12-31;65 oder mehr;765;451;244;131;271;170;250;150;8202;5000
0401132;Schwachhausen (Stadtteil);2013-12-31;Insgesamt;6349;3434;2816;1525;2658;1418;875;491;31836;17208
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;unter 6;100;51;30;15;55;27;15;9;171;79
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;6 - 15;119;51;44;19;63;28;12;4;230;100
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;15 - 18;27;14;14;10;12;3;1;1;80;35
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;18 - 25;83;51;46;30;23;14;14;7;344;190
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;25 - 30;102;59;62;33;20;12;20;14;467;246
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;30 - 50;371;201;199;108;133;72;39;21;1373;678
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;50 - 65;116;51;48;17;52;24;16;10;873;483
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;65 oder mehr;116;72;34;22;40;27;42;23;1425;938
04011321;Neu-Schwachhausen (Ortsteil);2013-12-31;Insgesamt;1034;550;477;254;398;207;159;89;4963;2749
04011322;Bürgerpark (Ortsteil);2013-12-31;unter 6;62;25;10;4;43;19;9;2;133;64
04011322;Bürgerpark (Ortsteil);2013-12-31;6 - 15;55;29;9;5;40;21;6;3;193;87
04011322;Bürgerpark (Ortsteil);2013-12-31;15 - 18;19;12;5;3;12;7;2;2;72;33
04011322;Bürgerpark (Ortsteil);2013-12-31;18 - 25;56;33;29;18;22;14;5;1;251;142
04011322;Bürgerpark (Ortsteil);2013-12-31;25 - 30;78;42;44;24;15;7;19;11;257;134
04011322;Bürgerpark (Ortsteil);2013-12-31;30 - 50;222;117;136;69;66;38;20;10;1114;567
04011322;Bürgerpark (Ortsteil);2013-12-31;50 - 65;94;55;55;32;34;20;5;3;845;443
04011322;Bürgerpark (Ortsteil);2013-12-31;65 oder mehr;81;46;23;11;32;20;26;15;960;573
04011322;Bürgerpark (Ortsteil);2013-12-31;Insgesamt;667;359;311;166;264;146;92;47;3825;2043
04011323;Barkhof (Ortsteil);2013-12-31;unter 6;60;27;15;7;37;15;8;5;88;46
04011323;Barkhof (Ortsteil);2013-12-31;6 - 15;25;13;6;2;19;11;0;0;90;44
04011323;Barkhof (Ortsteil);2013-12-31;15 - 18;5;1;2;1;3;0;0;0;29;10
04011323;Barkhof (Ortsteil);2013-12-31;18 - 25;41;28;21;16;16;10;4;2;170;101
04011323;Barkhof (Ortsteil);2013-12-31;25 - 30;68;36;40;22;21;11;7;3;236;126
04011323;Barkhof (Ortsteil);2013-12-31;30 - 50;220;107;138;68;73;35;9;4;805;381
04011323;Barkhof (Ortsteil);2013-12-31;50 - 65;74;39;35;16;31;18;8;5;499;248
04011323;Barkhof (Ortsteil);2013-12-31;65 oder mehr;67;37;29;12;21;15;17;10;455;264
04011323;Barkhof (Ortsteil);2013-12-31;Insgesamt;560;288;286;144;221;115;53;29;2372;1220
04011324;Riensberg (Ortsteil);2013-12-31;unter 6;96;43;14;6;49;23;33;14;175;90
04011324;Riensberg (Ortsteil);2013-12-31;6 - 15;80;40;13;7;55;29;12;4;302;125
04011324;Riensberg (Ortsteil);2013-12-31;15 - 18;36;19;5;4;27;14;4;1;97;43
04011324;Riensberg (Ortsteil);2013-12-31;18 - 25;58;36;26;16;27;17;5;3;324;175
04011324;Riensberg (Ortsteil);2013-12-31;25 - 30;87;42;43;23;35;14;9;5;417;224
04011324;Riensberg (Ortsteil);2013-12-31;30 - 50;340;189;172;98;128;70;40;21;1410;732
04011324;Riensberg (Ortsteil);2013-12-31;50 - 65;138;74;61;27;62;38;15;9;979;555
04011324;Riensberg (Ortsteil);2013-12-31;65 oder mehr;129;82;33;20;44;27;52;35;1444;936
04011324;Riensberg (Ortsteil);2013-12-31;Insgesamt;964;525;367;201;427;232;170;92;5148;2880
04011325;Radio Bremen (Ortsteil);2013-12-31;unter 6;136;69;19;11;97;48;20;10;258;122
04011325;Radio Bremen (Ortsteil);2013-12-31;6 - 15;147;75;25;12;109;55;13;8;349;175
04011325;Radio Bremen (Ortsteil);2013-12-31;15 - 18;35;17;8;4;26;12;1;1;129;61
04011325;Radio Bremen (Ortsteil);2013-12-31;18 - 25;91;50;35;20;43;23;13;7;382;207
04011325;Radio Bremen (Ortsteil);2013-12-31;25 - 30;129;75;68;42;41;23;20;10;378;186
04011325;Radio Bremen (Ortsteil);2013-12-31;30 - 50;488;271;278;163;166;80;44;28;1631;821
04011325;Radio Bremen (Ortsteil);2013-12-31;50 - 65;198;114;98;57;78;45;22;12;1219;678
04011325;Radio Bremen (Ortsteil);2013-12-31;65 oder mehr;165;97;56;27;55;38;54;32;1650;959
04011325;Radio Bremen (Ortsteil);2013-12-31;Insgesamt;1389;768;587;336;615;324;187;108;5996;3209
04011326;Schwachhausen (Ortsteil);2013-12-31;unter 6;46;24;8;3;30;18;8;3;132;69
04011326;Schwachhausen (Ortsteil);2013-12-31;6 - 15;49;23;4;3;40;16;5;4;178;78
04011326;Schwachhausen (Ortsteil);2013-12-31;15 - 18;9;4;3;1;6;3;0;0;70;39
04011326;Schwachhausen (Ortsteil);2013-12-31;18 - 25;36;21;17;11;17;8;2;2;157;73
04011326;Schwachhausen (Ortsteil);2013-12-31;25 - 30;51;21;29;13;17;6;5;2;212;119
04011326;Schwachhausen (Ortsteil);2013-12-31;30 - 50;190;117;106;66;66;38;18;13;839;439
04011326;Schwachhausen (Ortsteil);2013-12-31;50 - 65;75;49;36;21;34;24;5;4;645;356
04011326;Schwachhausen (Ortsteil);2013-12-31;65 oder mehr;57;35;20;15;20;11;17;9;720;437
04011326;Schwachhausen (Ortsteil);2013-12-31;Insgesamt;513;294;223;133;230;124;60;37;2953;1610
04011327;Gete (Ortsteil);2013-12-31;unter 6;95;52;17;10;60;32;18;10;230;116
04011327;Gete (Ortsteil);2013-12-31;6 - 15;93;45;15;9;71;33;7;3;371;150
04011327;Gete (Ortsteil);2013-12-31;15 - 18;37;14;9;3;24;9;4;2;155;75
04011327;Gete (Ortsteil);2013-12-31;18 - 25;110;63;67;34;35;25;8;4;398;187
04011327;Gete (Ortsteil);2013-12-31;25 - 30;123;65;63;38;42;18;18;9;474;260
04011327;Gete (Ortsteil);2013-12-31;30 - 50;433;242;257;132;141;90;35;20;1898;960
04011327;Gete (Ortsteil);2013-12-31;50 - 65;181;87;88;41;71;31;22;15;1505;856
04011327;Gete (Ortsteil);2013-12-31;65 oder mehr;150;82;49;24;59;32;42;26;1548;893
04011327;Gete (Ortsteil);2013-12-31;Insgesamt;1222;650;565;291;503;270;154;89;6579;3497
0401133;Vahr (Stadtteil);2013-12-31;unter 6;1012;493;150;76;515;245;347;172;390;171
0401133;Vahr (Stadtteil);2013-12-31;6 - 15;1361;640;231;100;821;374;309;166;545;249
0401133;Vahr (Stadtteil);2013-12-31;15 - 18;418;192;135;61;189;97;94;34;257;116
0401133;Vahr (Stadtteil);2013-12-31;18 - 25;963;485;311;160;375;180;277;145;1290;648
0401133;Vahr (Stadtteil);2013-12-31;25 - 30;964;475;353;190;314;147;297;138;956;456
0401133;Vahr (Stadtteil);2013-12-31;30 - 50;3610;1913;1586;937;1145;552;879;424;3137;1519
0401133;Vahr (Stadtteil);2013-12-31;50 - 65;2291;1267;687;394;797;421;807;452;2979;1525
0401133;Vahr (Stadtteil);2013-12-31;65 oder mehr;1604;951;468;244;543;322;593;385;4890;3098
0401133;Vahr (Stadtteil);2013-12-31;Insgesamt;12223;6416;3921;2162;4699;2338;3603;1916;14444;7782
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;unter 6;171;81;29;12;102;45;40;24;146;59
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;6 - 15;228;104;38;19;156;66;34;19;227;112
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;15 - 18;74;38;26;13;42;23;6;2;100;39
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;18 - 25;172;81;79;35;75;40;18;6;334;165
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;25 - 30;188;107;85;44;68;42;35;21;271;128
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;30 - 50;692;363;327;188;271;128;94;47;1236;594
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;50 - 65;423;226;158;85;174;89;91;52;1124;562
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;65 oder mehr;280;155;94;49;94;50;92;56;1863;1160
04011331;Gartenstadt Vahr (Ortsteil);2013-12-31;Insgesamt;2228;1155;836;445;982;483;410;227;5301;2819
04011332;Neue Vahr Nord (Ortsteil);2013-12-31;unter 6;395;204;58;37;180;93;157;74;120;59
04011332;Neue Vahr Nord (Ortsteil);2013-12-31;6 - 15;575;281;105;43;308;148;162;90;139;58
04011332;Neue Vahr Nord (Ortsteil);2013-12-31;15 - 18;175;74;48;17;78;40;49;17;64;35
04011332;Neue Vahr Nord (Ortsteil);2013-12-31;18 - 25;363;189;111;64;123;61;129;64;444;225
