173-55: Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
;;;;insgesamt;insgesamt;davon;davon;davon;davon;davon;davon
;;;;;;Ausländer;Ausländer;Eingebürgerte 2);Eingebürgerte 2);Aussiedler 3);Aussiedler 3)
;;;;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich
04011113;Ostertor (Ortsteil);2013-12-31;65 oder mehr;165;79;83;33;51;25;31;21;1009;563
04011113;Ostertor (Ortsteil);2013-12-31;Insgesamt;1885;916;1043;481;676;340;166;95;6642;3385
0401112;Häfen (Stadtteil);2013-12-31;unter 6;1;1;1;1;0;0;0;0;0;0
0401112;Häfen (Stadtteil);2013-12-31;6 - 15;0;0;0;0;0;0;0;0;1;1
0401112;Häfen (Stadtteil);2013-12-31;15 - 18;0;0;0;0;0;0;0;0;2;0
0401112;Häfen (Stadtteil);2013-12-31;18 - 25;7;3;7;3;0;0;0;0;4;1
0401112;Häfen (Stadtteil);2013-12-31;25 - 30;9;3;9;3;0;0;0;0;3;1
0401112;Häfen (Stadtteil);2013-12-31;30 - 50;18;3;18;3;0;0;0;0;26;10
0401112;Häfen (Stadtteil);2013-12-31;50 - 65;6;2;4;1;2;1;0;0;35;10
0401112;Häfen (Stadtteil);2013-12-31;65 oder mehr;4;1;4;1;0;0;0;0;14;6
0401112;Häfen (Stadtteil);2013-12-31;Insgesamt;45;13;43;12;2;1;0;0;85;29
04011121;Handelshäfen (Ortsteil);2013-12-31;unter 6;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;6 - 15;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;15 - 18;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;18 - 25;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;25 - 30;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;30 - 50;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2013-12-31;50 - 65;x;x;x;x;x;x;x;x;x;x
